close,datetime,high,low,open,volume
3508.461,2019/1/10 14:04,3515.104,3507.498,3507.611,40184
3505.707,2019/1/10 14:09,3510.497,3505.707,3508.394,38096
3505.547,2019/1/10 14:14,3508.251,3504.395,3508.099,32980
3500.452,2019/1/10 14:19,3507.52,3498.616,3500.726,73320
3502.441,2019/1/10 14:24,3504.419,3499.594,3503.288,34080
3501.992,2019/1/10 14:29,3504.695,3500.737,3504.685,21144
3495.032,2019/1/10 14:34,3502.721,3493.896,3495.032,79918
3494.026,2019/1/10 14:39,3495.879,3490.216,3495.014,77590
3491.069,2019/1/10 14:44,3493.915,3487.114,3490.084,87436
3491.108,2019/1/10 14:49,3492.25,3489.384,3490.235,37130
3494.318,2019/1/10 14:54,3496.046,3491.235,3495.165,39064
3488.232,2019/1/10 14:59,3494.313,3486.397,3487.516,106102
3498.069,2019/1/10 21:04,3498.214,3485.477,3496.386,108764
3498.234,2019/1/10 21:09,3500.05,3495.279,3499.36,77060
3497.694,2019/1/10 21:14,3501.923,3496.71,3497.694,47814
3492.137,2019/1/10 21:19,3498.681,3491.152,3495.671,44884
3494.813,2019/1/10 21:24,3495.8,3490.302,3495.797,49014
3486.31,2019/1/10 21:29,3494.678,3483.647,3486.31,99016
3483.621,2019/1/10 21:34,3489.27,3481.649,3485.305,79238
3488.698,2019/1/10 21:39,3489.541,3483.6,3488.556,37698
3488.438,2019/1/10 21:44,3490.685,3485.598,3489.423,37924
3488.691,2019/1/10 21:49,3490.518,3485.753,3489.393,30262
3489.54,2019/1/10 21:54,3489.683,3487.572,3488.415,13898
3481.941,2019/1/10 21:59,3489.698,3481.928,3485.724,54008
3486.715,2019/1/10 22:04,3488.683,3480.944,3487.84,46944
3492.676,2019/1/10 22:09,3496.472,3485.734,3495.487,84902
3497.621,2019/1/10 22:14,3498.881,3492.676,3497.762,63506
3494.803,2019/1/10 22:19,3497.756,3492.971,3495.787,31808
3494.524,2019/1/10 22:24,3496.07,3493.54,3494.383,14368
3490.861,2019/1/10 22:29,3494.677,3490.861,3493.673,21820
3498.36,2019/1/10 22:34,3500.469,3490.72,3496.657,53522
3495.819,2019/1/10 22:39,3499.488,3495.692,3496.944,22148
3493.712,2019/1/10 22:44,3497.786,3492.586,3493.712,26816
3491.131,2019/1/10 22:49,3493.943,3488.06,3490.288,52008
3492,2019/1/10 22:54,3492.985,3490.173,3490.173,14876
3491.425,2019/1/10 22:59,3492.283,3489.33,3490.299,32488
3487.906,2019/1/11 9:04,3495.925,3486.502,3487.626,65740
3488.712,2019/1/11 9:09,3489.872,3484.633,3489.695,47610
3491.286,2019/1/11 9:14,3491.428,3486.744,3488.616,27492
3485.487,2019/1/11 9:19,3491.41,3485.487,3487.455,30840
3486.471,2019/1/11 9:24,3488.44,3484.631,3488.44,28290
3490.544,2019/1/11 9:29,3490.544,3484.638,3484.78,35356
3490.513,2019/1/11 9:34,3493.466,3489.412,3491.638,41768
3490.808,2019/1/11 9:39,3492.481,3489.67,3490.808,17250
3479.935,2019/1/11 9:44,3491.641,3475.123,3478.809,199932
3486.304,2019/1/11 9:49,3487.288,3477.966,3485.32,77302
3486.164,2019/1/11 9:54,3489.969,3483.494,3485.462,52410
3485.317,2019/1/11 9:59,3487.137,3482.505,3483.489,32040
3483.775,2019/1/11 10:04,3485.461,3481.655,3483.633,25378
3480.681,2019/1/11 10:09,3484.618,3480.681,3482.508,16296
3480.53,2019/1/11 10:14,3484.335,3478.703,3480.53,23454
3481.645,2019/1/11 10:34,3482.633,3478.56,3479.676,34432
3483.284,2019/1/11 10:39,3483.284,3476.02,3482.441,40884
3479.66,2019/1/11 10:44,3484.295,3477.974,3480.644,26676
3478.629,2019/1/11 10:49,3479.66,3476.114,3478.629,34420
3475.635,2019/1/11 10:54,3479.454,3474.792,3478.446,44878
3481.232,2019/1/11 10:59,3481.373,3467.428,3477.718,154434
3483.414,2019/1/11 11:04,3486.226,3478.423,3480.603,77250
3484.684,2019/1/11 11:09,3485.809,3481.579,3484.676,27580
3489.224,2019/1/11 11:14,3492.166,3482.847,3488.24,77594
3488.262,2019/1/11 11:19,3490.229,3487.275,3488.262,37680
3490.067,2019/1/11 11:24,3490.067,3485.446,3486.13,25474
3501.425,2019/1/11 11:29,3503.397,3489.132,3502.549,197366
3500.718,2019/1/11 13:34,3506.071,3499.451,3500.577,106356
3500.432,2019/1/11 13:39,3505.213,3499.304,3502.406,64368
3502.284,2019/1/11 13:44,3503.101,3499.609,3501.295,30908
3503.751,2019/1/11 13:49,3504.594,3500.322,3503.61,39472
3505.049,2019/1/11 13:54,3509.131,3503.602,3508.146,94808
3504.248,2019/1/11 13:59,3508.169,3501.997,3504.95,61516
3502.136,2019/1/11 14:04,3506.222,3502.136,3503.121,27880
3503.763,2019/1/11 14:09,3505.59,3501.994,3505.449,24252
3503.458,2019/1/11 14:14,3504.596,3499.804,3501.49,46224
