id,wtid,rectime,averageWindSpeed,averagePower,averageGeneratorSpeed,averagePitchAngle
84,6-82,2019/1/1 13:50,0.3705157327744272,0.46630346714071463,0.8733730625849842,0.00102317834518857
101,6-82,2019/1/1 16:40,0.46273777754076384,0.8423628583736661,0.9971176672009875,0.004581163137701101
178,6-82,2019/1/2 5:30,0.39190256233857335,0.5990982321224633,0.9793219054056376,2.2466862398248032E-4
206,6-82,2019/1/2 10:10,0.19378414990280754,0.09189370122341596,0.606624435310345,4.49337259197564E-4
226,6-82,2019/1/2 13:30,0.05252527208484427,0.009643729962814143,0.004650920694579064,0.9996630668297257
326,6-82,2019/1/3 6:10,0.4752746051910508,0.8412349844220264,0.9977565093105953,0.001190743704860625
590,6-82,2019/1/5 2:10,0.35302211866451627,0.4633729553493479,0.8945170346799777,5.616715824214076E-4
694,6-82,2019/1/5 19:30,0.11950987487371723,0.00824804140690712,0.00566304056283598,0.9996630668297257
747,6-82,2019/1/6 4:20,0.44678027904541734,0.766098243517272,0.9974611003794835,9.342470274988503E-4
1531,6-82,2019/1/11 15:30,0.27553167467751344,0.18699183455142768,0.6708650173942252,4.49337259197564E-4
1747,6-82,2019/1/13 10:40,0.489044978811494,0.9004365262411821,0.9964652344226659,0.012899723274624977
1839,6-82,2019/1/14 2:00,0.3948511127541773,0.640212351891337,0.9870166146047534,4.49337259197564E-4
1906,6-82,2019/1/14 13:10,0.3410701748125277,0.16397819009419273,0.6347371243387235,0.11631000969283282
2209,6-82,2019/1/16 15:40,0.3779330067639208,0.26454168331975747,0.7480606415189021,0.15687392873407252
2932,6-82,2019/1/21 16:20,0.29308246314357295,0.590206696278346,0.9597660223074539,6.140942546110909E-4
3036,6-82,2019/1/22 9:40,0.2375281393992428,0.29712079217088017,0.7726822313733576,6.740058719474409E-4
3163,6-82,2019/1/23 6:50,0.2809899540224812,0.5165830418445361,0.9338526796477498,4.49337259197564E-4
3167,6-82,2019/1/23 7:30,0.24963509603050474,0.38318825619566477,0.8423675512288112,4.49337259197564E-4
