id,wtid,rectime,averageWindSpeed,averagePower,averageGeneratorSpeed,averagePitchAngle
10,6-82,2019/1/1 1:30,0.2785567517523884,0.18399175556599456,0.6658202118168446,5.616715824214076E-4
152,6-82,2019/1/2 1:10,0.5460289350588972,0.991164985422984,0.9972149242158701,0.04817924996999652
208,6-82,2019/1/2 10:30,0.08223094511804922,0.0010043742618082061,0.13751035112996304,0.7859329911376937
470,6-82,2019/1/4 6:10,0.276547521435821,0.20803429010043523,0.6969255451415781,5.975430360308534E-4
941,6-82,2019/1/7 12:40,0.4266367249079454,0.7150056056310674,0.9874258244459444,0.0015427245760580922
1159,6-82,2019/1/9 1:10,0.7270819290068796,0.9972999234025373,0.9979892247900415,0.14292107179420904
1521,6-82,2019/1/11 13:50,0.23960776168693432,0.13257302314451386,0.6132489576471366,4.49337259197564E-4
1696,6-82,2019/1/13 2:10,0.6688908454136716,0.9960042405250434,0.9969989263178678,0.11119318105544403
1876,6-82,2019/1/14 8:10,0.4217828936068715,0.6931789522782698,0.9770691337075657,0.001225380122498447
2459,6-82,2019/1/18 9:30,0.22205765837380223,0.25858065520864354,0.7332234921607184,5.616715824214076E-4
2579,6-82,2019/1/19 5:30,0.4469880201052887,0.9951781303399845,0.9975586436965351,0.0890689384115476
3117,6-82,2019/1/22 23:10,0.32004339561733464,0.6214814298732245,0.9720503373655821,6.740058719474409E-4
3267,6-82,2019/1/24 0:10,0.17580476315339916,0.1634303495655265,0.6280986544359938,4.49337259197564E-4
3683,6-82,2019/1/26 21:30,0.34597825636125396,0.9249545600477045,0.9973175705469236,0.010623081344074336
3742,6-82,2019/1/27 7:20,0.3731743057485257,0.8944320230833076,0.9957308828059346,0.00984703850323866
4070,6-82,2019/1/29 14:00,0.5244869291650621,0.6884310015513855,0.9965409532223243,0.1589268385252477
4232,6-82,2019/1/30 17:10,0.1834751753568641,0.16825221467821916,0.6477636914967231,5.616715824214076E-4
