id,wtid,rectime,averageWindSpeed,averagePower,averageGeneratorSpeed,averagePitchAngle
202,6-82,2019/1/2 9:30,0.2172927077084181,0.12005965330269691,0.6134644893936625,4.49337259197564E-4
220,6-82,2019/1/2 12:30,0.07996037543568675,0.008721966785521354,0.005766156944342287,0.9996630668297257
255,6-82,2019/1/2 18:20,0.22018678905583774,0.10513752518494784,0.6066425463037147,6.740058719474409E-4
514,6-82,2019/1/4 13:30,0.35650391442625806,0.4744482506732961,0.8499392171683781,0.002044673282577345
561,6-82,2019/1/4 21:20,0.309811830283881,0.29874911406134835,0.7709571644374591,3.3700294720632383E-4
693,6-82,2019/1/5 19:20,0.11468890561172974,0.008530657454126208,0.005588722452557369,0.9996630668297257
761,6-82,2019/1/6 6:40,0.4046192244545885,0.6761341868605892,0.99454713427233,6.740058719474409E-4
859,6-82,2019/1/6 23:00,0.3402832722537431,0.36372687614616184,0.8321580965633989,6.740058719474409E-4
1000,6-82,2019/1/7 22:30,0.39012826568437436,0.5695757301737235,0.9548419774161659,5.616715824214076E-4
1038,6-82,2019/1/8 5:00,0.4355274414916429,0.7350843947234936,0.9705774505346721,0.005942485078501617
1079,6-82,2019/1/8 11:50,0.49364903207602895,0.9457159751538297,0.9950192840876024,0.04644649338978063
1155,6-82,2019/1/9 0:30,0.6963447321047761,0.9960085854186761,0.9973626180361399,0.14111997832415957
1179,6-82,2019/1/9 4:30,0.6767594322796158,0.9972347015910629,0.9976097332260453,0.12405358762359073
1647,6-82,2019/1/12 10:50,0.3047823873996171,0.28024208975156184,0.7594127359845695,5.616715824214076E-4
1790,6-82,2019/1/13 17:50,0.3057031050513416,0.32753463105464364,0.7980451522302953,4.49337259197564E-4
1883,6-82,2019/1/14 9:20,0.4110807955456083,0.5978895048148364,0.9609750903739704,7.161312459645331E-4
1953,6-82,2019/1/14 21:00,0.5762332327286139,0.9872605327679997,0.9956180069151921,0.0757161336691179
2025,6-82,2019/1/15 9:00,0.7342654877330151,0.5874501037923359,0.9732584781716491,0.17972647177929235
2061,6-82,2019/1/15 15:00,0.47323889921137174,0.6533605197875249,0.9965934356034823,0.1417134777465408
2359,6-82,2019/1/17 16:50,0.20139290787382663,0.17703070412535418,0.6605649842302789,4.49337259197564E-4
2415,6-82,2019/1/18 2:10,0.35579001248983383,0.8227171118135025,0.9941181757445405,0.003915786825608138
2539,6-82,2019/1/18 22:50,0.4285494921184002,0.9957303185982481,0.9973212879928944,0.0860724211275187
2870,6-82,2019/1/21 6:00,0.5001117083237319,0.9939128856769317,0.9962116256082235,0.11238486075067712
3041,6-82,2019/1/22 10:30,0.16992572828090677,0.12521196048467942,0.6380726107200555,6.740058719474409E-4
3326,6-82,2019/1/24 10:00,0.16086158252211796,0.10096785065858188,0.6065659164916752,4.49337259197564E-4
3381,6-82,2019/1/24 19:10,0.25880109026816167,0.41569345295908844,0.8639458128988308,5.616715824214076E-4
3450,6-82,2019/1/25 6:40,0.43643876882428373,0.9975564540197753,0.9975962602157572,0.08407567841932723
3526,6-82,2019/1/25 19:20,0.5065527181945142,0.9959651091006209,0.9968795601642576,0.1294531234207583
3713,6-82,2019/1/27 2:30,0.5086034070429932,0.9888866632400252,0.9971252763394547,0.11763087263878935
3848,6-82,2019/1/28 1:00,0.916756592423411,0.718753530632524,0.9983464150398818,0.27820247367498724
3983,6-82,2019/1/28 23:30,0.4249920221836629,0.9955259692440732,0.9962236979229687,0.08100146264561692
