id,wtid,rectime,averageWindSpeed,averagePower,averageGeneratorSpeed,averagePitchAngle
8,6-82,2019/1/1 1:10,0.26441828087620456,0.1536561819269774,0.6283908120726115,5.616715824214076E-4
38,6-82,2019/1/1 6:10,0.3597803028535236,0.4569814851389905,0.8974172986230522,5.616715824214076E-4
103,6-82,2019/1/1 17:00,0.5092500369449532,0.9951259520106779,0.9977142447232837,0.04763630058756903
357,6-82,2019/1/3 11:20,0.5764797281132704,0.9976086294153251,0.9972019123145547,0.09241743785852337
453,6-82,2019/1/4 3:20,0.49967007700303173,0.9453333536306266,0.9946881053142721,0.049956003792648404
544,6-82,2019/1/4 18:30,0.2868986061115017,0.27165490959914995,0.7297918586756521,0.001539916234264771
546,6-82,2019/1/4 18:50,0.33374246887158504,0.3656747565043106,0.8290399852439272,2.2466862398248032E-4
671,6-82,2019/1/5 15:40,0.0501775196746468,0.008678929554515168,0.005694720230637789,0.9996630668297257
1355,6-82,2019/1/10 10:00,0.6889836914547115,0.9942172419064926,0.9970212276320237,0.12539036604524273
1543,6-82,2019/1/11 17:30,0.23501920203620386,0.12882944606823848,0.6070108832886855,4.49337259197564E-4
1685,6-82,2019/1/13 0:20,0.752000436423451,0.9857387550429116,0.9974508865075845,0.1589305829135765
2118,6-82,2019/1/16 0:30,0.42784846797171133,0.23356261235329084,0.7145004368595493,0.20475829982789778
2485,6-82,2019/1/18 13:50,0.306535843731773,0.46932093792466434,0.9180670537849124,0.05011701670301342
2798,6-82,2019/1/20 18:00,0.6487479664068128,0.5260919848246347,0.9394887838060645,0.22383173130988032
2819,6-82,2019/1/20 21:30,0.7176003827885834,0.7794898965926923,0.9960866774027359,0.21520819999362387
3198,6-82,2019/1/23 12:40,0.12370349770714886,0.01043431800791293,0.005863353120294146,1.0
3377,6-82,2019/1/24 18:30,0.16200105821373445,0.10048522905652922,0.6064172729998273,5.616715824214076E-4
3452,6-82,2019/1/25 7:00,0.4973509684657657,0.9968868719772036,0.9976835930225793,0.11704111839101915
3467,6-82,2019/1/25 9:30,0.4935543310303563,0.9964694707686429,0.9968163887952726,0.12422583319347502
3819,6-82,2019/1/27 20:10,0.6401741711761585,0.46865135602878044,0.9041268308531777,0.22311091841593034
