id,wtid,rectime,averageWindSpeed,averagePower,averageGeneratorSpeed,averagePitchAngle
1,6-82,2019/1/1 0:00,0.1831895673005522,0.06452777001785283,0.6072375595292288,5.616715824214076E-4
258,6-82,2019/1/2 18:50,0.20174475537144143,0.0878153338592939,0.6072928292945172,6.740058719474409E-4
292,6-82,2019/1/3 0:30,0.3384667185741198,0.38929711185599697,0.8507859314610048,6.740058719474409E-4
304,6-82,2019/1/3 2:30,0.18155096472673493,0.07608459333715792,0.6067373072791399,6.740058719474409E-4
613,6-82,2019/1/5 6:00,0.2873840831909812,0.22661025857216277,0.7140712469368562,5.616715824214076E-4
785,6-82,2019/1/6 10:40,0.36067707243053526,0.4284068259901531,0.8733387012822037,1.1233431199124016E-4
1043,6-82,2019/1/8 5:50,0.4562564745268977,0.7990077983493601,0.9851707444016179,0.018112035263404214
1691,6-82,2019/1/13 1:20,0.7658689343977546,0.9968086071725208,0.9977337508094142,0.172007233327443
1979,6-82,2019/1/15 1:20,0.5534641585222653,0.39973651302518526,0.8553485969022229,0.14853965863316418
1996,6-82,2019/1/15 4:10,0.8231505612447058,0.44417245648264525,0.8889821957669111,0.2367576657970415
2057,6-82,2019/1/15 14:20,0.3674530982061499,0.4564119060601291,0.9270103116153955,0.1201752454450877
2070,6-82,2019/1/15 16:30,0.6261991202780656,0.838961013489173,0.9976873020643767,0.17320453022296248
2354,6-82,2019/1/17 16:00,0.18809844282292398,0.1629738162480001,0.6461598177817008,4.49337259197564E-4
2823,6-82,2019/1/20 22:10,0.7865638100589103,0.2507326296225278,0.6026409826886386,0.5085795452109467
3334,6-82,2019/1/24 11:20,0.10401645763429054,0.024678904686331146,0.6062407663119617,4.49337259197564E-4
3410,6-82,2019/1/25 0:00,0.40435760618350375,0.9962607642968492,0.9980147667534054,0.06399311242408476
3546,6-82,2019/1/25 22:40,0.4514754916956948,0.9974347099632808,0.9974662145990497,0.07284505651676781
3706,6-82,2019/1/27 1:20,0.487451811073714,0.9962259846114916,0.9973277917024392,0.12876882064377937
4265,6-82,2019/1/30 22:40,0.46450955373026775,0.991004114342702,0.9944800129419139,0.0883574880272863
