id,wtid,rectime,averageWindSpeed,averagePower,averageGeneratorSpeed,averagePitchAngle
57,6-82,2019/1/1 9:20,0.5662978466350163,0.9980651644931056,0.9976585088065186,0.061678089687567474
257,6-82,2019/1/2 18:40,0.19152578676075782,0.08851100413749591,0.6067577406257199,6.740058719474409E-4
466,6-82,2019/1/4 5:30,0.22083237182245452,0.13175995903310786,0.6363433170452867,3.3700294720632383E-4
632,6-82,2019/1/5 9:10,0.6166208115615772,0.9966868709393774,0.9974532038182907,0.10412828948766087
878,6-82,2019/1/7 2:10,0.2927628332600519,0.27037227010603215,0.744570009617012,0.0014388153006794188
1692,6-82,2019/1/13 1:30,0.761503396986937,0.9968390395194486,0.9972641530614211,0.16954336739754977
1813,6-82,2019/1/13 21:40,0.40250653083830307,0.7184491714692065,0.9928863519782342,4.980154644302157E-4
1902,6-82,2019/1/14 12:30,0.3654679919934749,0.30357748135674717,0.7869703601845959,0.06724051005009948
1976,6-82,2019/1/15 0:50,0.5676007460385271,0.4340547974251251,0.8781038781644588,0.15568505606641814
2190,6-82,2019/1/16 12:30,0.6328921078377618,0.5634712191625442,0.9596982045512139,0.21569217456906756
2320,6-82,2019/1/17 10:20,0.22764378771684457,0.249936954131402,0.6458091239577886,0.1097955540713119
2465,6-82,2019/1/18 10:30,0.2564495484896545,0.42083706580648284,0.8667002347411432,5.616715824214076E-4
2627,6-82,2019/1/19 13:30,0.3100683911673632,0.6950137828656161,0.9648242947320623,0.0013292893529467068
3051,6-82,2019/1/22 12:10,0.3540770078891492,0.7817464762159886,0.9865707031786691,0.013081330433124464
3303,6-82,2019/1/24 6:10,0.21882090171512544,0.22961468416258654,0.7146337466571498,4.49337259197564E-4
3627,6-82,2019/1/26 12:10,0.1135717864119895,0.010830717447484551,0.0034232783025362023,1.0
3667,6-82,2019/1/26 18:50,0.25726577815826734,0.384227414176746,0.8475763188647754,5.616715824214076E-4
