id,wtid,rectime,averageWindSpeed,averagePower,averageGeneratorSpeed,averagePitchAngle
379,6-82,2019/1/3 15:00,0.4411968213861086,0.8102472250373809,0.9872242441873044,0.006053883186700923
422,6-82,2019/1/3 22:10,0.6944173786438766,0.996291202022331,0.9966496387922805,0.13384539505668339
1301,6-82,2019/1/10 1:00,0.6767589626064487,0.8108820161485278,0.997678022176266,0.15142852314086125
1454,6-82,2019/1/11 2:40,0.49026711801220413,0.8875796754930221,0.9973533359069162,0.014605332550838764
1942,6-82,2019/1/14 19:10,0.6110011986485662,0.9951955255612172,0.9960857523833994,0.09124354345183823
2060,6-82,2019/1/15 14:50,0.4907839122696054,0.5749497822244893,0.9669219209095761,0.15698532661761977
2175,6-82,2019/1/16 10:00,0.7495276469938946,0.4777950732936601,0.9050836784746739,0.2546244369976728
2767,6-82,2019/1/20 12:50,0.3485974194824223,0.4666426076518519,0.9042856904580373,0.09028121391624704
3176,6-82,2019/1/23 9:00,0.323044671857087,0.6900266952758481,0.9731377107622179,0.0026520258859104575
3183,6-82,2019/1/23 10:10,0.23807313630209512,0.33129559616444787,0.7977692421016971,4.49337259197564E-4
3597,6-82,2019/1/26 7:10,0.06690355493582201,0.004087063400288994,0.2360924071318047,0.5878866181651188
3695,6-82,2019/1/26 23:30,0.4774240767218878,0.9965346876905229,0.9981030217781729,0.0969585513736098
3829,6-82,2019/1/27 21:50,0.6745908137065865,0.9833952169159917,0.9961586770755888,0.18644312759432607
4160,6-82,2019/1/30 5:10,0.4564256099263147,0.6766567813373743,0.994073127695046,0.12963847519223864
4208,6-82,2019/1/30 13:10,0.3599914408884426,0.23773663519600555,0.7308383502516161,0.15278308737899357
