id,wtid,rectime,averageWindSpeed,averagePower,averageGeneratorSpeed,averagePitchAngle
261,6-82,2019/1/2 19:20,0.12513371101316959,0.023074515008824688,0.6068083673654228,6.740058719474409E-4
429,6-82,2019/1/3 23:20,0.6879704403775863,0.9956266293692783,0.9953803923630151,0.12444376119957903
523,6-82,2019/1/4 15:00,0.47843437121625276,0.808760231887245,0.9797445518390323,0.023225826694706304
588,6-82,2019/1/5 1:50,0.3812291006826347,0.6224901517423903,0.9529635925872537,7.273646693008348E-4
674,6-82,2019/1/5 16:10,0.0672107857916383,0.008737897053450945,0.005552984175853527,0.9996630668297257
1083,6-82,2019/1/8 12:30,0.4230965880256155,0.7613502918124688,0.9819834135098068,0.00353197794596179
1230,6-82,2019/1/9 13:00,0.34580193491325345,0.4696513841501095,0.9049605915134237,5.616715824214076E-4
1465,6-82,2019/1/11 4:30,0.6049792163403891,0.9947955078388625,0.9973988601928953,0.08411780391690295
1503,6-82,2019/1/11 10:50,0.24766180052585093,0.14006452326640798,0.6311902864466442,6.740058719474409E-4
1621,6-82,2019/1/12 6:30,0.412258336871795,0.75396749167815,0.9965804343474531,0.0013302254893430205
1946,6-82,2019/1/14 19:50,0.610974436612558,0.9724731953182536,0.9936081718520821,0.089738264039585
1975,6-82,2019/1/15 0:40,0.6085080825897107,0.4632468668881802,0.8973137160670979,0.1660844071581944
2052,6-82,2019/1/15 13:30,0.3192744753014626,0.5724584130767392,0.9637248568645764,0.06458286754799801
2561,6-82,2019/1/19 2:30,0.3276704661746109,0.8023383157857831,0.9978182889484891,0.004392271568529461
2575,6-82,2019/1/19 4:50,0.3806381326025356,0.9224588445394435,0.9972831969180225,0.020104097491800987
2596,6-82,2019/1/19 8:20,0.38889037543393973,0.8770750453246556,0.9963481827783708,0.0739618466594408
2656,6-82,2019/1/19 18:20,0.2912575000543274,0.596459035376599,0.9514874527810148,5.616715824214076E-4
2992,6-82,2019/1/22 2:20,0.5761812650630757,0.9962911990885743,0.9981884905393665,0.15242549138554135
3191,6-82,2019/1/23 11:30,0.10955527688765723,0.009778516083494178,0.006806146152627852,1.0
3506,6-82,2019/1/25 16:00,0.22790238254061043,0.28375957383828887,0.7523251112051561,6.740058719474409E-4
3520,6-82,2019/1/25 18:20,0.44558453798226894,0.9913041149215225,0.9970272607078661,0.06855201355286805
3528,6-82,2019/1/25 19:40,0.49663152890583867,0.9961477139392955,0.9979418515859457,0.11123905091888336
4128,6-82,2019/1/29 23:50,0.611796645672573,0.5275702828089515,0.9424564004744589,0.21130832592542123
4250,6-82,2019/1/30 20:10,0.38604981850243936,0.830730362077011,0.9916531398425055,0.04796675078218802
