id,wtid,rectime,averageWindSpeed,averagePower,averageGeneratorSpeed,averagePitchAngle
55,6-82,2019/1/1 9:00,0.4738531806196023,0.9609015656712918,0.9973635621049358,0.01544738365050624
112,6-82,2019/1/1 18:30,0.4068133844046817,0.6930224260916203,0.9880733206128947,7.722983738786448E-4
200,6-82,2019/1/2 9:10,0.286511256775783,0.25003260965889057,0.7347943901409913,4.49337259197564E-4
341,6-82,2019/1/3 8:40,0.5069146750631448,0.929411201449912,0.9977551119767218,0.00612783661409731
451,6-82,2019/1/4 3:00,0.6077906646878194,0.9860778924247086,0.9943480943151266,0.10330450396019568
503,6-82,2019/1/4 11:40,0.24860599485960644,0.14581249942534427,0.6562707945859954,5.616715824214076E-4
710,6-82,2019/1/5 22:10,0.1916441047026057,0.0864718191107964,0.6069802293468681,5.616715824214076E-4
863,6-82,2019/1/6 23:40,0.34635502296811543,0.3937624428009899,0.8523043425778939,6.740058719474409E-4
1248,6-82,2019/1/9 16:10,0.2390819048990864,0.15511274180116255,0.6590015228227822,5.616715824214076E-4
1376,6-82,2019/1/10 13:30,0.4879383369589223,0.8441785447318432,0.993721972762161,0.01007170716091895
1417,6-82,2019/1/10 20:30,0.40616028868516635,0.5731932076405557,0.9513750368786886,4.49337259197564E-4
1800,6-82,2019/1/13 19:30,0.4286467167238944,0.687583154185218,0.9896911441349678,4.49337259197564E-4
1828,6-82,2019/1/14 0:10,0.3004844566899598,0.2607285384137684,0.7467191925960692,4.49337259197564E-4
2277,6-82,2019/1/17 3:10,0.264273454796981,0.47589937370961505,0.903120286553819,5.616715824214076E-4
2345,6-82,2019/1/17 14:30,0.15018881034245815,0.08254563123054122,0.6066736714395129,4.49337259197564E-4
2495,6-82,2019/1/18 15:30,0.2645750273193602,0.4314286436724692,0.8776788768817171,2.2466862398248032E-4
2654,6-82,2019/1/19 18:00,0.33331510647716794,0.728819010187235,0.9866129728084847,0.0032380365428666823
2701,6-82,2019/1/20 1:50,0.5457112581510803,0.9807299263603595,0.9969450594892351,0.14951603257354676
2873,6-82,2019/1/21 6:30,0.5889922098913936,0.994060707896492,0.9981257858821363,0.1540945909828556
3297,6-82,2019/1/24 5:10,0.1819763438328595,0.14254719680827552,0.6248741720558808,4.49337259197564E-4
3399,6-82,2019/1/24 22:10,0.40144951020146563,0.9966346906542332,0.9974355572955631,0.05893057901249335
3428,6-82,2019/1/25 3:00,0.4300851646877115,0.9751167379356693,0.9969882451739358,0.05933030271634419
3645,6-82,2019/1/26 15:10,0.16170562450633755,0.10512013348422311,0.6080629535548578,5.616715824214076E-4
4058,6-82,2019/1/29 12:00,0.4397842378716092,0.4358765879041237,0.8837283587908803,0.15393170542902204
4131,6-82,2019/1/30 0:20,0.7551332822172896,0.6765393826634717,0.9972479033122887,0.23020951116356325
