id,wtid,rectime,averageWindSpeed,averagePower,averageGeneratorSpeed,averagePitchAngle
26,6-82,2019/1/1 4:10,0.35506497448471147,0.42078054072549786,0.8695127036478666,5.616715824214076E-4
96,6-82,2019/1/1 15:50,0.4647698622224161,0.8822659786403697,0.9960328660416466,0.0047218170331111186
231,6-82,2019/1/2 14:20,0.12123580713006447,0.007965425208110602,0.004924968767096732,0.9996630668297257
418,6-82,2019/1/3 21:30,0.6531403994844976,0.9960782284014565,0.9958998464681625,0.10056752801806387
1044,6-82,2019/1/8 6:00,0.5047760389315729,0.9506552302858428,0.9963198511897635,0.03320227796445278
1310,6-82,2019/1/10 2:30,0.673464384661052,0.6700174723995694,0.9964308624745992,0.15249101767582834
1401,6-82,2019/1/10 17:50,0.2446249873698941,0.1638607962120928,0.6342271182051521,5.616715824214076E-4
1428,6-82,2019/1/10 22:20,0.21295017499740201,0.10631581696741059,0.6075534096508155,1.1233431199124016E-4
1594,6-82,2019/1/12 2:00,0.4718349483486358,0.819795295041267,0.9975447129389435,0.001955553144825206
1643,6-82,2019/1/12 10:10,0.29316285969357214,0.27803768581719096,0.7536865205997537,5.616715824214076E-4
2356,6-82,2019/1/17 16:20,0.20854577016685893,0.2193231114716394,0.7060806587332039,4.49337259197564E-4
2440,6-82,2019/1/18 6:20,0.3109933350915264,0.564627774008378,0.8963754573562907,0.02839530522861808
2506,6-82,2019/1/18 17:20,0.3730796834566278,0.9363026838873361,0.9973417342258734,0.011878417247159448
2610,6-82,2019/1/19 10:40,0.40814080688863186,0.41915876116130624,0.8727557626125478,0.1432833496490662
2643,6-82,2019/1/19 16:10,0.21390003660607118,0.26068071299702944,0.7368232830676583,2.2466862398248032E-4
2772,6-82,2019/1/20 13:40,0.47089710536188356,0.4917084779286772,0.9197531438460775,0.15834082686858977
2848,6-82,2019/1/21 2:20,0.8028376718510758,0.995430315085671,0.9967383571671337,0.24303434536863008
2872,6-82,2019/1/21 6:20,0.4975360270628965,0.9949346480945087,0.9967527579981494,0.11807365815633387
2959,6-82,2019/1/21 20:50,0.43176602787336965,0.3926015430126275,0.8536067675626233,0.1586572361629896
3130,6-82,2019/1/23 1:20,0.2911458993230889,0.5997373798622694,0.9638140369086804,6.740058719474409E-4
3245,6-82,2019/1/23 20:30,0.20153123300826514,0.18651356092345214,0.666865775572081,4.49337259197564E-4
3391,6-82,2019/1/24 20:50,0.4368761371240587,0.9964999036045301,0.9977537247278561,0.060336630853516385
3400,6-82,2019/1/24 22:20,0.4078186525118384,0.9950129099654348,0.9975005753415519,0.06416255020257328
3696,6-82,2019/1/26 23:40,0.4864564400020682,0.9954172701366248,0.997549347560356,0.0965906575652852
3771,6-82,2019/1/27 12:10,0.54326106412769,0.47045575280232066,0.9064195487072986,0.18210515009463585
3902,6-82,2019/1/28 10:00,0.47973950353246625,0.9954824860805859,0.996340288458291,0.11228469645895522
4168,6-82,2019/1/30 6:30,0.4967599447225183,0.7833726042432169,0.9960527682444766,0.13323317380498412
4194,6-82,2019/1/30 10:50,0.3727690762599406,0.25897632207206034,0.7471925156339283,0.16268442078228415
4207,6-82,2019/1/30 13:00,0.37827502998606233,0.27826813020353247,0.763186237230793,0.1510035253493396
4211,6-82,2019/1/30 13:40,0.3130963923016054,0.37937946214861357,0.8743856483643583,0.08567550674269768
