id,wtid,rectime,averageWindSpeed,averagePower,averageGeneratorSpeed,averagePitchAngle
229,6-82,2019/1/2 14:00,0.06776569235615251,0.009935041907824656,0.006038811553948553,0.9996630668297257
415,6-82,2019/1/3 21:00,0.5417690357900313,0.9951824801232115,0.9960244377764258,0.055882574754599554
1266,6-82,2019/1/9 19:10,0.2890945207035571,0.2392975464480417,0.7216447236956207,6.740058719474409E-4
1409,6-82,2019/1/10 19:10,0.4242346913970884,0.6584867373647907,0.9905225717967177,4.49337259197564E-4
1762,6-82,2019/1/13 13:10,0.23295522148622888,0.12480760339393389,0.6094164775938271,5.616715824214076E-4
1910,6-82,2019/1/14 13:50,0.45942663526430305,0.4637120974251554,0.916093443509933,0.08777803063961716
1931,6-82,2019/1/14 17:20,0.571744679759957,0.5376488131802221,0.9419710068026892,0.13446791503309583
1950,6-82,2019/1/14 20:30,0.4416142203717462,0.75521969725967,0.9755052011060885,0.007789448423223028
2168,6-82,2019/1/16 8:50,0.3821821070381049,0.21442298404795712,0.7023615011123759,0.1944581811486038
2273,6-82,2019/1/17 2:30,0.2442656618992233,0.38014904446561865,0.8369102783526852,5.616715824214076E-4
2325,6-82,2019/1/17 11:10,0.25760166055113787,0.39923214959690917,0.8524144209994982,5.616715824214076E-4
3168,6-82,2019/1/23 7:40,0.23966045434901284,0.3168647857435935,0.7936260093380204,4.49337259197564E-4
3222,6-82,2019/1/23 16:40,0.08816603125792483,0.010626364295072643,0.005834901210258908,0.9996630668297257
3308,6-82,2019/1/24 7:00,0.30092912315067893,0.5918502249053609,0.9733007438795171,4.49337259197564E-4
3625,6-82,2019/1/26 11:50,0.1306541451167574,0.010961155631737341,0.00934782580530393,1.0
