id,wtid,rectime,averageWindSpeed,averagePower,averageGeneratorSpeed,averagePitchAngle
19,6-82,2019/1/1 3:00,0.27149479479907906,0.17163925836912988,0.6513616189183127,5.616715824214076E-4
567,6-82,2019/1/4 22:20,0.40444844293915344,0.6380775109459813,0.9524006396018823,0.0023346814660486228
1058,6-82,2019/1/8 8:20,0.9288634848922088,0.995156391203038,0.9949593673747807,0.20227664819385027
1075,6-82,2019/1/8 11:10,0.59939810827514,0.9887910120153797,0.9959947082936668,0.0785909561870333
1292,6-82,2019/1/9 23:30,0.6443883323357171,0.9968564381633975,0.997502894893371,0.09994477198849187
1567,6-82,2019/1/11 21:30,0.3651008334453912,0.5443924606851402,0.948084143600939,3.3700294720632383E-4
1589,6-82,2019/1/12 1:10,0.5496301054288545,0.997278186710388,0.9975177663580891,0.05453737190289555
1654,6-82,2019/1/12 12:00,0.2670348823134532,0.21430124140944495,0.7011036625078901,5.616715824214076E-4
1774,6-82,2019/1/13 15:10,0.1516786155440835,0.01604389686796692,0.4585181775485687,0.1309658941594701
1887,6-82,2019/1/14 10:00,0.3466681912100454,0.4560249389587502,0.8799836659300269,5.700966527317846E-4
1982,6-82,2019/1/15 1:50,0.8563766535339311,0.5120481375934838,0.9288533983563482,0.23444264354352617
1988,6-82,2019/1/15 2:50,0.5973026619320414,0.38246649572599467,0.8439458784982439,0.16901726674043502
2572,6-82,2019/1/19 4:20,0.36477325557174417,0.9213849018367222,0.9972418612719949,0.018117651969456063
2720,6-82,2019/1/20 5:00,0.479251569119047,0.993356343234806,0.9971735790451128,0.11787613585911702
2737,6-82,2019/1/20 7:50,0.5056071875030376,0.9863257288540463,0.9970342350511133,0.12683198992360015
2818,6-82,2019/1/20 21:20,0.661841031034727,0.8098037349086468,0.9956779247485701,0.19966768623336295
2995,6-82,2019/1/22 2:50,0.5718240353648661,0.9940867997504222,0.996395097674885,0.15001685481843843
3016,6-82,2019/1/22 6:20,0.3366013453165306,0.7492630236257938,0.9946904287880387,0.0011036846262657226
3193,6-82,2019/1/23 11:50,0.10456337636506599,0.010478534344085617,0.005853691512392814,1.0
3209,6-82,2019/1/23 14:30,0.068540352412202,0.010987243268392314,0.010718066104020553,0.9996630668297257
3282,6-82,2019/1/24 2:40,0.2873045534237942,0.4737906220267045,0.9088887648451119,4.49337259197564E-4
3500,6-82,2019/1/25 15:00,0.22529983273211154,0.28517700575966365,0.7646410125080549,6.740058719474409E-4
4166,6-82,2019/1/30 6:10,0.5494548323444219,0.6588041404992355,0.9951623528111896,0.16441811312822044
